time,players
2024-12-13 00:00:00,23333767
2024-12-13 00:10:00,23296437
2024-12-13 00:20:00,23288659
2024-12-13 00:30:00,23339061
2024-12-13 00:40:00,23414174
2024-12-13 00:50:00,23483819
2024-12-13 01:00:00,23574518
2024-12-13 01:10:00,23657836
2024-12-13 01:20:00,23727099
2024-12-13 01:30:00,23830385
2024-12-13 01:40:00,23907570
2024-12-13 01:50:00,24004171
2024-12-13 02:00:00,24083565
2024-12-13 02:10:00,24175694
2024-12-13 02:20:00,24277669
2024-12-13 02:30:00,24245991
2024-12-13 02:40:00,24326088
2024-12-13 02:50:00,24351746
2024-12-13 03:00:00,24359902
2024-12-13 03:10:00,24334783
2024-12-13 03:20:00,24317292
2024-12-13 03:30:00,24281327
2024-12-13 03:40:00,24268137
2024-12-13 03:50:00,24298411
2024-12-13 04:00:00,24313930
2024-12-13 04:10:00,24296060
2024-12-13 04:20:00,24348401
2024-12-13 04:30:00,24404014
2024-12-13 04:40:00,24412244
2024-12-13 04:50:00,24385197
2024-12-13 05:00:00,24309329
2024-12-13 05:10:00,23973615
2024-12-13 05:20:00,23888834
2024-12-13 05:30:00,23801684
2024-12-13 05:40:00,23464459
2024-12-13 05:50:00,23388902
2024-12-13 06:00:00,23367462
2024-12-13 06:10:00,23264462
2024-12-13 06:20:00,23273292
2024-12-13 06:30:00,23267848
2024-12-13 06:40:00,23204227
2024-12-13 06:50:00,23272212
2024-12-13 07:00:00,23300311
2024-12-13 07:10:00,23356479
2024-12-13 07:20:00,23444120
2024-12-13 07:30:00,23512339
2024-12-13 07:40:00,23625145
2024-12-13 07:50:00,23772826
2024-12-13 08:00:00,23923904
2024-12-13 08:10:00,24085705
2024-12-13 08:20:00,24244433
2024-12-13 08:30:00,24424242
2024-12-13 08:40:00,24572220
2024-12-13 08:50:00,24735728
2024-12-13 09:00:00,24874525
2024-12-13 09:10:00,24957571
2024-12-13 09:20:00,25150298
2024-12-13 09:30:00,25329541
2024-12-13 09:40:00,25569921
2024-12-13 09:50:00,25834148
2024-12-13 10:00:00,26069633
2024-12-13 10:10:00,26360486
2024-12-13 10:20:00,26713961
2024-12-13 10:30:00,27071474
2024-12-13 10:40:00,27467386
2024-12-13 10:50:00,27805035
2024-12-13 11:00:00,28209478
2024-12-13 11:10:00,28628133
2024-12-13 11:20:00,29059686
2024-12-13 11:30:00,29505134
2024-12-13 11:40:00,29923348
2024-12-13 11:50:00,30411314
2024-12-13 12:00:00,30831805
2024-12-13 12:10:00,31238692
2024-12-13 12:20:00,31692604
2024-12-13 12:30:00,32154172
2024-12-13 12:40:00,32491996
2024-12-13 12:50:00,32932361
2024-12-13 13:00:00,33346880
2024-12-13 13:10:00,33749258
2024-12-13 13:20:00,34145677
2024-12-13 13:30:00,34504724
2024-12-13 13:40:00,34801777
2024-12-13 13:50:00,35099227
2024-12-13 14:00:00,35277209
2024-12-13 14:10:00,35474011
2024-12-13 14:20:00,35567390
2024-12-13 14:30:00,35685763
2024-12-13 14:40:00,35729036
2024-12-13 14:50:00,35715782
2024-12-13 15:00:00,35604822
2024-12-13 15:10:00,35390216
2024-12-13 15:20:00,35212609
2024-12-13 15:30:00,34918322
2024-12-13 15:40:00,34649295
2024-12-13 15:50:00,34380904
2024-12-13 16:00:00,34056217
2024-12-13 16:10:00,33610199
2024-12-13 16:20:00,33313035
2024-12-13 16:30:00,33014774
2024-12-13 16:40:00,32723945
2024-12-13 16:50:00,32476205
2024-12-13 17:00:00,32242490
2024-12-13 17:10:00,31956582
2024-12-13 17:20:00,31761707
2024-12-13 17:30:00,31580581
2024-12-13 17:40:00,31425246
2024-12-13 17:50:00,31277027
2024-12-13 18:00:00,31133328
2024-12-13 18:10:00,30965138
2024-12-13 18:20:00,30846785
2024-12-13 18:30:00,30740498
2024-12-13 18:40:00,30631329
2024-12-13 18:50:00,30539574
2024-12-13 19:00:00,30434834
2024-12-13 19:10:00,30340096
2024-12-13 19:20:00,30242870
2024-12-13 19:30:00,30148551
2024-12-13 19:40:00,30063642
2024-12-13 19:50:00,29993900
2024-12-13 20:00:00,29907699
2024-12-13 20:10:00,29752432
2024-12-13 20:20:00,29659570
2024-12-13 20:30:00,29541087
2024-12-13 20:40:00,29408416
2024-12-13 20:50:00,29300475
2024-12-13 21:00:00,29149177
2024-12-13 21:10:00,28927375
2024-12-13 21:20:00,28737311
2024-12-13 21:30:00,28553116
2024-12-13 21:40:00,28355817
2024-12-13 21:50:00,28158278
2024-12-13 22:00:00,27925366
2024-12-13 22:10:00,27644356
2024-12-13 22:20:00,27392045
2024-12-13 22:30:00,27138484
2024-12-13 22:40:00,26900782
2024-12-13 22:50:00,26658199
2024-12-13 23:00:00,26398798
2024-12-13 23:10:00,26075534
2024-12-13 23:20:00,25827145
2024-12-13 23:30:00,25608704
2024-12-13 23:40:00,25421696
2024-12-13 23:50:00,25249157
2024-12-14 00:00:00,25098920
2024-12-14 00:10:00,24954602
2024-12-14 00:20:00,24866782
2024-12-14 00:30:00,24803660
2024-12-14 00:40:00,24751428
2024-12-14 00:50:00,24743279
2024-12-14 01:00:00,24766481
2024-12-14 01:10:00,24792469
2024-12-14 01:20:00,24854252
2024-12-14 01:30:00,24943759
2024-12-14 01:40:00,25038302
2024-12-14 01:50:00,25134859
2024-12-14 02:00:00,25232328
2024-12-14 02:10:00,25357753
2024-12-14 02:20:00,25484922
2024-12-14 02:30:00,25608469
2024-12-14 02:40:00,25739702
2024-12-14 02:50:00,25865078
2024-12-14 03:00:00,25962634
2024-12-14 03:10:00,26052956
2024-12-14 03:20:00,26141547
